lokacija,povrsina,cena,razdalja,datum
"Primorsko-goranska, Crikvenica",1038 m2,2.080.000 €,96.02 km,10.05.2024
"Primorsko-goranska, Opatija",96.9 m2,1 €,79.65 km,10.05.2024
"Primorsko-goranska, Opatija",180.72 m2,1 €,79.63 km,10.05.2024
"Primorsko-goranska, Crikvenica",83.56 m2,375.000 €,96.11 km,10.05.2024
"Primorsko-goranska, Kostrena",198 m2,780.000 €,82.77 km,10.05.2024
"Primorsko-goranska, Rijeka",137 m2,460.000 €,77.49 km,10.05.2024
"Primorsko-goranska, Lovran",149 m2,410.000 €,86.83 km,10.05.2024
"Primorsko-goranska, Lovran",130 m2,395.000 €,86.74 km,10.05.2024
"Primorsko-goranska, Kostrena",198 m2,820.000 €,83.01 km,10.05.2024
"Primorsko-goranska, Bakar",206 m2,259.000 €,78.46 km,09.05.2024
"Primorsko-goranska, Rijeka",644 m2,1.600.000 €,77.65 km,09.05.2024
"Primorsko-goranska, Crikvenica",148 m2,300.000 €,96.33 km,09.05.2024
"Primorsko-goranska, Matulji",167 m2,725.000 €,72.16 km,09.05.2024
"Primorsko-goranska, Crikvenica",150 m2,415.000 €,96.33 km,09.05.2024
"Primorsko-goranska, Opatija - Okolica",250 m2,1.300.000 €,80.80 km,09.05.2024
"Primorsko-goranska, Crikvenica",166 m2,625.000 €,96.30 km,09.05.2024
"Primorsko-goranska, Opatija",116 m2,780.000 €,79.58 km,09.05.2024
"Primorsko-goranska, Vinodolska Općina",397 m2,359.000 €,94.01 km,09.05.2024
"Primorsko-goranska, Crikvenica",71 m2,259.000 €,96.17 km,09.05.2024
"Primorsko-goranska, Opatija",715.8 m2,1.500.000 €,79.54 km,09.05.2024
"Primorsko-goranska, Crikvenica",200 m2,780.000 €,96.20 km,09.05.2024
"Istrska, Pićan",100 m2,148.000 €,99.13 km,03.05.2024
"Istrska, Cerovlje",220 m2,890.000 €,90.58 km,03.05.2024
"Primorsko-goranska, Opatija",77.09 m2,668.000 €,79.37 km,03.05.2024
"Primorsko-goranska, Opatija",39.1 m2,220.000 €,79.32 km,03.05.2024
"Primorsko-goranska, Opatija",94 m2,600.000 €,79.43 km,03.05.2024
"Primorsko-goranska, Rijeka",54.02 m2,205.276 €,77.63 km,03.05.2024
"Primorsko-goranska, Rijeka",59.69 m2,226.822 €,77.64 km,03.05.2024
"Primorsko-goranska, Rijeka",70.15 m2,266.570 €,77.41 km,03.05.2024
"Primorsko-goranska, Rijeka",64.22 m2,244.036 €,77.57 km,03.05.2024
"Primorsko-goranska, Rijeka",65.49 m2,248.862 €,77.53 km,03.05.2024
"Primorsko-goranska, Rijeka",55.1 m2,209.380 €,77.64 km,03.05.2024
"Primorsko-goranska, Rijeka",54.87 m2,203.019 €,77.60 km,03.05.2024
"Primorsko-goranska, Rijeka",80.22 m2,296.814 €,77.47 km,03.05.2024
"Primorsko-goranska, Rijeka",43.91 m2,171.249 €,77.50 km,03.05.2024
"Primorsko-goranska, Rijeka",47.53 m2,175.861 €,77.54 km,03.05.2024
"Primorsko-goranska, Rijeka",46.63 m2,177.194 €,77.60 km,03.05.2024
"Primorsko-goranska, Rijeka",46.63 m2,177.194 €,77.56 km,03.05.2024
"Primorsko-goranska, Rijeka",81.35 m2,300.995 €,77.67 km,03.05.2024
"Primorsko-goranska, Rijeka",58.51 m2,216.487 €,77.45 km,03.05.2024
"Primorsko-goranska, Rijeka",53.94 m2,204.972 €,77.46 km,03.05.2024
"Primorsko-goranska, Rijeka",80.6 m2,298.220 €,77.40 km,03.05.2024
"Primorsko-goranska, Rijeka",51.36 m2,200.304 €,77.69 km,03.05.2024
"Primorsko-goranska, Rijeka",79.4 m2,301.720 €,77.68 km,03.05.2024
"Primorsko-goranska, Rijeka",54.02 m2,210.678 €,77.55 km,03.05.2024
"Primorsko-goranska, Rijeka",58.99 m2,224.162 €,77.44 km,03.05.2024
"Primorsko-goranska, Rijeka",68.37 m2,259.806 €,77.52 km,03.05.2024
"Primorsko-goranska, Rijeka",65.78 m2,249.964 €,77.71 km,03.05.2024
"Primorsko-goranska, Rijeka",81.3 m2,300.810 €,77.70 km,03.05.2024
"Primorsko-goranska, Rijeka",69.27 m2,263.226 €,77.62 km,03.05.2024
"Primorsko-goranska, Rijeka",55.36 m2,215.904 €,77.66 km,03.05.2024
"Primorsko-goranska, Rijeka",43.43 m2,165.034 €,77.58 km,03.05.2024
"Primorsko-goranska, Rijeka",68.51 m2,267.189 €,77.68 km,03.05.2024
"Primorsko-goranska, Rijeka",60.28 m2,229.064 €,77.52 km,03.05.2024
"Primorsko-goranska, Rijeka",54.02 m2,205.276 €,77.59 km,03.05.2024
"Primorsko-goranska, Rijeka",69.22 m2,263.036 €,77.59 km,03.05.2024
"Primorsko-goranska, Rijeka",53.94 m2,204.972 €,77.56 km,03.05.2024
"Primorsko-goranska, Rijeka",51.1 m2,220.400 €,77.53 km,03.05.2024
"Primorsko-goranska, Rijeka",46.63 m2,181.857 €,77.59 km,03.05.2024
"Primorsko-goranska, Rijeka",46.48 m2,181.272 €,77.59 km,03.05.2024
"Primorsko-goranska, Rijeka",46.63 m2,191.183 €,77.38 km,03.05.2024
"Primorsko-goranska, Rijeka",43.43 m2,169.377 €,77.53 km,03.05.2024
"Primorsko-goranska, Rijeka",46.48 m2,197.595 €,77.48 km,03.05.2024
"Primorsko-goranska, Rijeka",46.63 m2,181.857 €,77.44 km,03.05.2024
"Primorsko-goranska, Rijeka",58.99 m2,241.859 €,77.57 km,03.05.2024
"Primorsko-goranska, Rijeka",70.15 m2,280.600 €,77.61 km,03.05.2024
"Primorsko-goranska, Rijeka",51.95 m2,212.995 €,77.63 km,03.05.2024
"Primorsko-goranska, Rijeka",65.78 m2,263.120 €,77.65 km,03.05.2024
"Primorsko-goranska, Rijeka",66.9 m2,274.290 €,77.45 km,03.05.2024
"Primorsko-goranska, Rijeka",54.02 m2,216.080 €,77.68 km,03.05.2024
"Primorsko-goranska, Rijeka",69.27 m2,263.226 €,77.47 km,03.05.2024
"Primorsko-goranska, Rijeka",65.49 m2,248.862 €,77.53 km,03.05.2024
"Primorsko-goranska, Rijeka",68.51 m2,274.040 €,77.56 km,03.05.2024
"Primorsko-goranska, Rijeka",51.36 m2,205.440 €,77.62 km,03.05.2024
"Primorsko-goranska, Rijeka",46.63 m2,186.520 €,77.53 km,03.05.2024
"Primorsko-goranska, Rijeka",68.37 m2,259.806 €,77.61 km,03.05.2024
"Primorsko-goranska, Rijeka",47.09 m2,233.775 €,77.57 km,03.05.2024
"Primorsko-goranska, Rijeka",53.94 m2,210.366 €,77.50 km,03.05.2024
"Primorsko-goranska, Rijeka",51.42 m2,242.440 €,77.59 km,03.05.2024
"Primorsko-goranska, Rijeka",70.15 m2,308.660 €,77.57 km,03.05.2024
"Primorsko-goranska, Rijeka",66.9 m2,280.980 €,77.42 km,03.05.2024
"Primorsko-goranska, Rijeka",51.42 m2,226.976 €,77.51 km,03.05.2024
"Primorsko-goranska, Rijeka",73.54 m2,334.800 €,77.54 km,03.05.2024
"Primorsko-goranska, Rijeka",107.2 m2,396.640 €,77.65 km,03.05.2024
"Primorsko-goranska, Rijeka",51.42 m2,221.440 €,77.46 km,03.05.2024
"Primorsko-goranska, Rijeka",51.42 m2,225.910 €,77.51 km,03.05.2024
"Primorsko-goranska, Rijeka",46.48 m2,185.920 €,77.53 km,03.05.2024
"Primorsko-goranska, Rijeka",46.63 m2,181.857 €,77.65 km,03.05.2024
"Primorsko-goranska, Rijeka",70.15 m2,294.630 €,77.57 km,03.05.2024
"Primorsko-goranska, Rijeka",58.99 m2,247.758 €,77.61 km,03.05.2024
"Primorsko-goranska, Rijeka",69.64 m2,276.880 €,77.43 km,03.05.2024
"Primorsko-goranska, Rijeka",69.66 m2,289.432 €,77.38 km,03.05.2024
"Primorsko-goranska, Rijeka",47.09 m2,243.090 €,77.49 km,03.05.2024
"Primorsko-goranska, Rijeka",55.31 m2,238.048 €,77.78 km,03.05.2024
"Primorsko-goranska, Rijeka",104.06 m2,458.964 €,77.58 km,03.05.2024
"Primorsko-goranska, Rijeka",46.48 m2,181.272 €,77.50 km,03.05.2024
"Primorsko-goranska, Rijeka",69.94 m2,263.036 €,77.70 km,03.05.2024
"Primorsko-goranska, Rijeka",66.9 m2,294.360 €,77.64 km,03.05.2024
"Primorsko-goranska, Rijeka",46.63 m2,186.520 €,77.58 km,03.05.2024
"Primorsko-goranska, Rijeka",68.37 m2,266.643 €,77.55 km,03.05.2024
"Primorsko-goranska, Rijeka",69.27 m2,270.153 €,77.41 km,03.05.2024
"Primorsko-goranska, Rijeka",54.02 m2,221.482 €,77.64 km,03.05.2024
"Primorsko-goranska, Rijeka",65.49 m2,261.960 €,77.56 km,03.05.2024
"Primorsko-goranska, Rijeka",98.21 m2,402.661 €,77.63 km,03.05.2024
"Primorsko-goranska, Rijeka",43.43 m2,178.063 €,77.55 km,03.05.2024
"Primorsko-goranska, Rijeka",53.94 m2,221.154 €,77.48 km,03.05.2024
"Primorsko-goranska, Rijeka",103.64 m2,456.016 €,77.36 km,03.05.2024
"Primorsko-goranska, Rijeka",46.63 m2,195.846 €,77.60 km,03.05.2024
"Primorsko-goranska, Rijeka",58.99 m2,259.556 €,77.58 km,03.05.2024
"Primorsko-goranska, Rijeka",72.8 m2,302.120 €,77.77 km,03.05.2024
"Primorsko-goranska, Rijeka",54.91 m2,230.622 €,77.56 km,03.05.2024
"Primorsko-goranska, Rijeka",69.39 m2,298.377 €,77.50 km,03.05.2024
"Primorsko-goranska, Rijeka",107.99 m2,475.156 €,77.56 km,03.05.2024
"Istrska, Umag",211.95 m2,100 €,98.84 km,03.05.2024
"Šmarje pri Jelšah, Šmarje pri Jelšah",71.4 m2,219.975 €,82.94 km,22.04.2024
"Slovenske Konjice, Loče",840 m2,895.000 €,82.72 km,17.04.2024
"Primorsko-goranska, Lokve",281 m2,650.000 €,75.06 km,16.04.2024
"Primorsko-goranska, Mrkopalj",300 m2,500.000 €,90.17 km,16.04.2024
"Primorsko-goranska, Opatija - Okolica",171.46 m2,720.000 €,80.83 km,16.04.2024
"Primorsko-goranska, Opatija",150 m2,100 €,79.42 km,16.04.2024
"Primorsko-goranska, Opatija",179.26 m2,598.000 €,79.36 km,16.04.2024
"Primorsko-goranska, Opatija",157.84 m2,650.000 €,79.51 km,16.04.2024
"Primorsko-goranska, Opatija",224.22 m2,650.000 €,79.52 km,16.04.2024
"Primorsko-goranska, Kostrena",112 m2,554.000 €,82.99 km,16.04.2024
"Primorsko-goranska, Kostrena",112 m2,554.000 €,82.94 km,16.04.2024
"Primorsko-goranska, Rijeka",96 m2,195.000 €,77.54 km,16.04.2024
"Primorsko-goranska, Mošćenička Draga",100 m2,465.000 €,94.33 km,16.04.2024
"Primorsko-goranska, Crikvenica",75 m2,280.000 €,96.39 km,16.04.2024
"Primorsko-goranska, Matulji",200 m2,100 €,72.32 km,16.04.2024
"Primorsko-goranska, Crikvenica",245 m2,700.000 €,96.25 km,16.04.2024
"Primorsko-goranska, Opatija",187 m2,100 €,79.60 km,16.04.2024
"Primorsko-goranska, Opatija - Okolica",70 m2,450.000 €,81.00 km,16.04.2024
"Primorsko-goranska, Opatija",56 m2,270.000 €,79.70 km,16.04.2024
"Ljubljana Center, Center",146.9 m2,850.000 €,1.87 km,16.04.2024
"Primorsko-goranska, Vinodolska Općina",210 m2,100 €,94.23 km,11.04.2024
"Primorsko-goranska, Opatija",227.5 m2,100 €,79.37 km,11.04.2024
"Postojna, Planina",263 m2,239.000 €,30.43 km,08.04.2024
"Primorsko-goranska, Čavle",410 m2,100 €,71.50 km,04.04.2024
"Primorsko-goranska, Crikvenica",396 m2,100 €,96.28 km,27.03.2024
"Primorsko-goranska, Crikvenica",117 m2,370.000 €,94.23 km,23.03.2024
"Istrska, Oprtalj",160 m2,185.000 €,88.16 km,23.03.2024
"Istrska, Oprtalj",155 m2,488.000 €,88.33 km,23.03.2024
"Istrska, Pazin - Okolica",360 m2,170.000 €,98.68 km,23.03.2024
"Istrska, Umag",65.34 m2,100 €,98.94 km,23.03.2024
"Istrska, Umag",54.58 m2,100 €,98.83 km,23.03.2024
"Istrska, Umag",211.95 m2,100 €,98.74 km,23.03.2024
"Primorsko-goranska, Ravna Gora",71.69 m2,186.750 €,82.80 km,23.03.2024
"Istrska, Umag",211.95 m2,100 €,98.74 km,23.03.2024
"Zagrebška, Samobor",92.15 m2,276.500 €,93.88 km,23.03.2024
"Istrska, Umag",211.95 m2,100 €,98.60 km,23.03.2024
"Istrska, Umag",211.95 m2,100 €,98.81 km,23.03.2024
"Žalec, Žalec",920 m2,480.000 €,57.47 km,11.03.2024
"Primorsko-goranska, Mrkopalj",124 m2,124.630 €,90.34 km,08.03.2024
"Primorsko-goranska, Mrkopalj",63.7 m2,85.920 €,90.26 km,08.03.2024
"Kranj, Kranj",69.7 m2,299.000 €,24.18 km,06.03.2024
"Tržič, Tržič",118 m2,192.000 €,37.81 km,06.03.2024
"Primorsko-goranska, Opatija",109 m2,350.000 €,79.67 km,05.03.2024
"Istrska, Umag",600 m2,990.000 €,98.86 km,05.03.2024
"Istrska, Buje",70 m2,100 €,93.01 km,05.03.2024
"Primorsko-goranska, Opatija",46.25 m2,190.000 €,79.58 km,05.03.2024
"Primorsko-goranska, Opatija",126.64 m2,630.000 €,79.61 km,05.03.2024
"Polzela, Orova vas",170 m2,310.000 €,52.58 km,04.03.2024
"Primorsko-goranska, Crikvenica",144 m2,365.000 €,96.22 km,24.02.2024
"Primorsko-goranska, Bakar",251 m2,380.000 €,78.51 km,21.02.2024
"Primorsko-goranska, Kostrena",241 m2,100 €,83.17 km,20.02.2024
"Istrska, Kršan",250 m2,370.000 €,97.91 km,19.02.2024
"Primorsko-goranska, Opatija - Okolica",70 m2,100 €,80.78 km,19.02.2024
"Primorsko-goranska, Kastav",98.59 m2,260.000 €,75.04 km,19.02.2024
"Primorsko-goranska, Kastav",108.61 m2,260.000 €,75.17 km,19.02.2024
"Primorsko-goranska, Lovran",450 m2,100 €,86.87 km,19.02.2024
"Primorsko-goranska, Opatija - Okolica",170 m2,270.000 €,80.87 km,19.02.2024
"Primorsko-goranska, Mošćenička Draga",86 m2,360.000 €,94.33 km,19.02.2024
"Primorsko-goranska, Opatija",99.13 m2,100 €,79.65 km,19.02.2024
"Primorsko-goranska, Rijeka",109.31 m2,100 €,77.52 km,19.02.2024
"Primorsko-goranska, Rijeka",118.04 m2,100 €,77.70 km,19.02.2024
"Istrska, Žminj",419 m2,850.000 €,98.62 km,19.02.2024
"Primorsko-goranska, Omišalj",349 m2,2.400.000 €,94.05 km,19.02.2024
"Primorsko-goranska, Opatija",250.68 m2,100 €,79.69 km,19.02.2024
"Istrska, Lupoglav",270 m2,550.000 €,84.26 km,19.02.2024
"Krapinsko-zagorska, Klanjec",100 m2,90.000 €,97.81 km,19.02.2024
"Primorsko-goranska, Rijeka",66.4 m2,186.750 €,77.38 km,19.02.2024
"Primorsko-goranska, Ravna Gora",200 m2,100 €,82.92 km,19.02.2024
"Istrska, Buje",63.21 m2,252.000 €,93.10 km,19.02.2024
"Istrska, Buje",35.87 m2,136.800 €,93.02 km,19.02.2024
"Primorsko-goranska, Ravna Gora",218 m2,395.000 €,82.80 km,19.02.2024
"Primorsko-goranska, Opatija",99.13 m2,100 €,79.32 km,19.02.2024
"Primorsko-goranska, Opatija - Okolica",395 m2,1.390.000 €,80.90 km,19.02.2024
"Primorsko-goranska, Rijeka",62 m2,186.750 €,77.54 km,19.02.2024
"Primorsko-goranska, Omišalj",114 m2,1.142.000 €,93.71 km,19.02.2024
"Istrska, Umag",194 m2,880.000 €,98.76 km,19.02.2024
"Istrska, Umag",194 m2,750.000 €,98.66 km,19.02.2024
"Primorsko-goranska, Opatija - Okolica",78.38 m2,290.000 €,80.88 km,19.02.2024
"Primorsko-goranska, Opatija",200 m2,1.050.000 €,79.29 km,19.02.2024
"Istrska, Umag",77.8 m2,282.000 €,98.97 km,19.02.2024
"Istrska, Umag",56.89 m2,200.000 €,98.76 km,19.02.2024
"Istrska, Umag",53.97 m2,190.000 €,98.94 km,19.02.2024
"Istrska, Umag",49.48 m2,216.000 €,98.80 km,19.02.2024
"Istrska, Umag",55.89 m2,205.000 €,98.73 km,19.02.2024
"Istrska, Umag",55.26 m2,207.000 €,98.67 km,19.02.2024
"Istrska, Umag",77.3 m2,283.000 €,98.52 km,19.02.2024
"Istrska, Umag",54.66 m2,207.000 €,98.54 km,19.02.2024
"Istrska, Umag",81.38 m2,282.000 €,98.88 km,19.02.2024
"Primorsko-goranska, Opatija - Okolica",173.47 m2,645.000 €,80.61 km,19.02.2024
"Istrska, Umag",55.7 m2,205.000 €,98.74 km,19.02.2024
"Istrska, Umag",60.92 m2,217.000 €,98.80 km,19.02.2024
"Istrska, Umag",54.42 m2,190.000 €,98.82 km,19.02.2024
"Istrska, Umag",77.29 m2,279.001 €,98.67 km,19.02.2024
"Istrska, Umag",72.07 m2,270.000 €,98.77 km,19.02.2024
"Istrska, Umag",56.3 m2,205.000 €,98.66 km,19.02.2024
"Istrska, Umag",55.72 m2,208.000 €,98.80 km,19.02.2024
"Istrska, Umag",56.18 m2,205.000 €,98.74 km,19.02.2024
"Primorsko-goranska, Rijeka",106.25 m2,381.437 €,77.54 km,19.02.2024
"Primorsko-goranska, Rijeka",83.82 m2,317.677 €,77.73 km,19.02.2024
"Primorsko-goranska, Rijeka",83.82 m2,317.677 €,77.75 km,19.02.2024
"Primorsko-goranska, Rijeka",83.82 m2,309.295 €,77.57 km,19.02.2024
"Primorsko-goranska, Rijeka",83.82 m2,300.913 €,77.59 km,19.02.2024
"Primorsko-goranska, Rijeka",83.82 m2,300.913 €,77.59 km,19.02.2024
"Istrska, Umag",55.61 m2,205.000 €,98.77 km,19.02.2024
"Istrska, Umag",54.95 m2,208.000 €,98.67 km,19.02.2024
"Istrska, Umag",55.48 m2,207.000 €,98.62 km,19.02.2024
"Istrska, Umag",55.58 m2,215.000 €,98.75 km,19.02.2024
"Istrska, Umag",51.44 m2,210.000 €,98.83 km,19.02.2024
"Istrska, Umag",56.53 m2,210.000 €,98.70 km,19.02.2024
"Istrska, Umag",52.17 m2,205.000 €,98.93 km,19.02.2024
"Istrska, Umag",55.29 m2,210.000 €,98.86 km,19.02.2024
"Istrska, Umag",53.98 m2,215.000 €,98.79 km,19.02.2024
"Primorsko-goranska, Opatija",1224 m2,1.050.000 €,79.49 km,19.02.2024
"Istrska, Umag",71.88 m2,274.000 €,98.82 km,19.02.2024
"Istrska, Umag",54.92 m2,210.000 €,98.79 km,19.02.2024
"Istrska, Umag",55.42 m2,215.000 €,98.84 km,19.02.2024
"Istrska, Umag",81.27 m2,287.000 €,98.80 km,19.02.2024
"Istrska, Umag",55.3 m2,215.000 €,98.76 km,19.02.2024
"Istrska, Umag",59.33 m2,250.000 €,98.94 km,19.02.2024
"Istrska, Buje",288 m2,1.200.000 €,93.13 km,19.02.2024
"Istrska, Umag",52.24 m2,210.000 €,98.87 km,19.02.2024
"Istrska, Umag",55.61 m2,215.000 €,98.83 km,19.02.2024
"Istrska, Umag",55.5 m2,215.000 €,98.84 km,19.02.2024
"Istrska, Kršan",250 m2,370.000 €,97.85 km,19.02.2024
"Istrska, Umag",53.52 m2,100 €,98.70 km,19.02.2024
"Istrska, Umag",126.21 m2,100 €,98.61 km,19.02.2024
"Primorsko-goranska, Rijeka",102 m2,106.340 €,77.68 km,19.02.2024
"Istrska, Umag",56.32 m2,211.000 €,98.87 km,19.02.2024
"Karlovška, Ozalj",100 m2,157.000 €,83.80 km,19.02.2024
"Istrska, Umag",54.93 m2,219.000 €,98.74 km,19.02.2024
"Istrska, Umag",55.46 m2,215.000 €,98.71 km,19.02.2024
"Istrska, Umag",54.93 m2,212.000 €,98.74 km,19.02.2024
"Primorsko-goranska, Crikvenica",80 m2,1.000 €,96.26 km,19.02.2024
"Primorsko-goranska, Lovran",68.56 m2,270.000 €,87.14 km,19.02.2024
"Istrska, Umag",58.69 m2,195.000 €,98.78 km,19.02.2024
"Istrska, Umag",370 m2,2.329.000 €,98.87 km,19.02.2024
"Primorsko-goranska, Delnice",102 m2,90.265 €,70.42 km,19.02.2024
"Primorsko-goranska, Mrkopalj",70 m2,60.650 €,90.11 km,19.02.2024
"Koper, Kastelec",150 m2,495.000 €,71.47 km,15.02.2024
"Primorsko-goranska, Delnice",102 m2,365.000 €,70.20 km,13.02.2024
"Primorsko-goranska, Opatija - Okolica",148 m2,1.250.000 €,80.79 km,20.01.2024
"Primorsko-goranska, Matulji",63 m2,180.000 €,72.07 km,18.01.2024
"Istrska, Umag",64 m2,277.000 €,98.58 km,14.01.2024
"Istrska, Umag",64 m2,244.000 €,98.69 km,14.01.2024
"Istrska, Umag",64 m2,260.000 €,98.82 km,14.01.2024
"Istrska, Umag",66 m2,250.000 €,98.64 km,14.01.2024
"Primorsko-goranska, Omišalj",330 m2,800.000 €,93.87 km,08.01.2024
"Ljubljana Moste Polje, Sostro",258.7 m2,850.000 €,7.85 km,04.01.2024
"Šentjur, Gorica pri Slivnici",150 m2,118.000 €,75.85 km,04.01.2024
"Piran, Portorož",200 m2,609.000 €,89.80 km,29.12.2023
"Primorsko-goranska, Rijeka",330 m2,755.000 €,77.60 km,19.12.2023
"Primorsko-goranska, Matulji",403 m2,850.000 €,71.91 km,18.12.2023
"Primorsko-goranska, Mošćenička Draga",205 m2,450.000 €,94.34 km,18.12.2023
"Primorsko-goranska, Lovran",121.2 m2,490.000 €,86.79 km,18.12.2023
"Primorsko-goranska, Mošćenička Draga",180 m2,250.000 €,94.28 km,18.12.2023
"Žalec, Žalec",292 m2,349.000 €,57.25 km,09.12.2023
"Primorsko-goranska, Crikvenica",360 m2,490.000 €,96.05 km,20.11.2023
"Primorsko-goranska, Opatija - Okolica",96.31 m2,360.000 €,80.85 km,20.11.2023
"Primorsko-goranska, Opatija",155.56 m2,1.075.000 €,79.52 km,20.11.2023
"Primorsko-goranska, Opatija",100 m2,375.000 €,79.51 km,16.11.2023
"Primorsko-goranska, Rijeka",72.1 m2,190.000 €,77.56 km,15.11.2023
"Primorsko-goranska, Rijeka",45 m2,179.000 €,77.54 km,15.11.2023
"Primorsko-goranska, Opatija",92 m2,440.000 €,79.36 km,15.11.2023
"Primorsko-goranska, Opatija - Okolica",270 m2,330.000 €,80.68 km,15.11.2023
"Primorsko-goranska, Omišalj",54 m2,177.000 €,93.86 km,15.11.2023
"Primorsko-goranska, Opatija",90 m2,1.300 €,79.54 km,14.11.2023
"Primorsko-goranska, Opatija - Okolica",223 m2,670.000 €,80.76 km,13.11.2023
"Primorsko-goranska, Opatija",100 m2,700.000 €,79.47 km,10.11.2023
"Primorsko-goranska, Crikvenica",210 m2,600.000 €,96.41 km,10.11.2023
"Primorsko-goranska, Matulji",667 m2,190.000 €,72.34 km,10.11.2023
"Primorsko-goranska, Opatija",1140 m2,1.250.000 €,79.65 km,10.11.2023
"Primorsko-goranska, Ravna Gora",200 m2,150.000 €,82.95 km,10.11.2023
"Primorsko-goranska, Crikvenica",300 m2,690.000 €,96.22 km,31.10.2023
"Istrska, Buje",52.86 m2,178.200 €,93.22 km,31.10.2023
"Istrska, Buje",62.24 m2,225.000 €,93.04 km,31.10.2023
"Istrska, Buje",62.94 m2,234.000 €,93.02 km,31.10.2023
"Primorsko-goranska, Rijeka",137.39 m2,750.000 €,77.50 km,25.10.2023
"Istrska, Buje",35.87 m2,117.900 €,93.08 km,25.10.2023
"Istrska, Umag",126.05 m2,100 €,98.66 km,25.10.2023
"Istrska, Umag",53.52 m2,100 €,98.74 km,25.10.2023
"Istrska, Umag",274.16 m2,100 €,98.74 km,25.10.2023
"Primorsko-goranska, Rijeka",104 m2,339.000 €,77.38 km,25.10.2023
"Ljubljana Center, Trnovo",152.71 m2,568 €,1.75 km,24.10.2023
"Primorsko-goranska, Rijeka",79.67 m2,345.000 €,77.60 km,24.10.2023
"Primorsko-goranska, Kastav",283.3 m2,580.000 €,75.16 km,21.10.2023
"Istrska, Umag",205 m2,550.000 €,98.76 km,21.10.2023
"Istrska, Cerovlje",67 m2,100.000 €,90.74 km,21.10.2023
"Bovec, Bovec",117.2 m2,265.000 €,78.55 km,20.10.2023
"Primorsko-goranska, Bakar",150 m2,225.000 €,78.54 km,19.10.2023
"Istrska, Cerovlje",133 m2,100 €,90.68 km,12.10.2023
"Istrska, Vižinada",280 m2,1.560.000 €,98.78 km,12.10.2023
"Istrska, Oprtalj",160 m2,79.000 €,88.40 km,12.10.2023
"Istrska, Oprtalj",87 m2,65.000 €,88.25 km,12.10.2023
"Istrska, Oprtalj",200 m2,100 €,88.13 km,12.10.2023
"Istrska, Pazin - Okolica",350 m2,1.400.000 €,98.53 km,12.10.2023
"Istrska, Kršan",86 m2,150.000 €,98.04 km,12.10.2023
"Istrska, Buzet",159 m2,100 €,82.81 km,12.10.2023
"Istrska, Buzet",81 m2,85.000 €,82.56 km,12.10.2023
"Primorsko-goranska, Matulji",560 m2,1.750.000 €,72.16 km,11.10.2023
"Istrska, Umag",273.91 m2,100 €,98.86 km,04.10.2023
"Istrska, Umag",274.16 m2,100 €,98.67 km,04.10.2023
"Primorsko-goranska, Rijeka",322.24 m2,1.800.000 €,77.46 km,29.09.2023
"Primorsko-goranska, Matulji",350 m2,1.050.000 €,72.20 km,27.09.2023
"Primorsko-goranska, Crikvenica",395 m2,1.680.000 €,96.23 km,27.09.2023
"Istrska, Umag",249 m2,100 €,98.75 km,22.09.2023
"Istrska, Umag",249 m2,100 €,98.74 km,21.09.2023
"Istrska, Umag",249.23 m2,100 €,98.58 km,21.09.2023
"Istrska, Umag",249 m2,100 €,98.60 km,21.09.2023
"Primorsko-goranska, Omišalj",300 m2,1.450.000 €,93.74 km,05.09.2023
"Primorsko-goranska, Opatija",380 m2,100 €,79.61 km,05.09.2023
"Primorsko-goranska, Rijeka",325 m2,1.100.000 €,77.56 km,05.09.2023
"Primorsko-goranska, Opatija",150 m2,290.500 €,79.56 km,05.09.2023
"Primorsko-goranska, Opatija",104 m2,100 €,79.73 km,05.09.2023
"Primorsko-goranska, Opatija - Okolica",200 m2,2.000.000 €,80.81 km,05.09.2023
